,CompanyName,companyNameLinkedin,companyIndustries
408,Auto entrepreneur,Auto-entrepreneur,Computer Software
409,Sopra Steria,Sopra-Steria,Nan
410,EPSI,EPSI,Information Technology & Services
411,Xamarin Student Partner,Xamarin-Student-Partner,Computer Software
412,Shapr,Shapr,Internet
413,Cellenza,Cellenza,Information Technology & Services
414,STEERING SISTEMI DIREZIONALI,STEERING-SISTEMI-DIREZIONALI,Management Consulting
415,TXT e-solutions,TXT-e-solutions,Information Technology & Services
416,SDG Group,SDG-Group,Management Consulting
417,Altran,Altran,Information Technology & Services
418,Broadcaster Ineractive Group,Broadcaster-Ineractive-Group,Telecommunications
419,Wire Image,Wire-Image,Higher Education
420,E!,E!,Nan
421,"eyeboogie, inc.",eyeboogie-inc.,Nan
422,E! Networks,E!-Networks,Nan
423,Dumbbells,Dumbbells,Nan
424,Target,Target,Retail
425,Centrelink,Centrelink,Government Administration
426,Teradata,Teradata,Information Technology & Services
427,SAS,SAS,Computer Software
428,South Sydney Referees Association,South-Sydney-Referees-Association,Internet
429,Private Tutor,Private-Tutor,Nan
430,Centaur Software Development Co.,Centaur-Software-Development-Co.,Nan
431,Business Information Systems Association (BISA),Business-Information-Systems-Association,Nan
432,Deloitte Australia,Deloitte-Australia,Management Consulting
433,The University of Sydney Business School,The-University-of-Sydney-Business-School,Higher Education
434,eBay,eBay,Internet
435,Dell EMC,Dell-EMC,Information Technology & Services
436,Hitachi Data Systems,Hitachi-Data-Systems,Information Technology & Services
437,Niteo | Business Intelligence. ECM.,Niteo-|-Business-Intelligence.-ECM.,Nan
438,Synovate,Synovate,Market Research
439,"Canon, Inc.",Canon-Inc.,Nan
440,LG Electronics,LG-Electronics,Consumer Electronics
441,Seagate Technology,Seagate-Technology,Computer Hardware
442,GE Healthcare,GE-Healthcare,Mechanical Or Industrial Engineering
443,Revel Consulting,Revel-Consulting,Management Consulting
444,Prime 8 Consulting,Prime-8-Consulting,Management Consulting
445,PepsiCo,PepsiCo,Food & Beverages
446,The Walt Disney Company,The-Walt-Disney-Company,Entertainment
447,News Corp,News-Corp,Nan
448,Mobile Ecosystem Forum,Mobile-Ecosystem-Forum,Wireless
449,Eagle Eye Solutions plc,Eagle-Eye-Solutions-plc,Public Safety
450,The Decision Platform,The-Decision-Platform,Management Consulting
451,"PARC, a Xerox Company",PARC-a-Xerox-Company,Non-profit Organization Management
452,Packard Bell,Packard-Bell,Computer Hardware
453,BrandsMart USA,BrandsMart-USA,Retail
454,Wiznet,Wiznet,Information Technology & Services
455,Verio,Verio,Internet
456,Gripati Digital Entertainment,Gripati-Digital-Entertainment,Entertainment
457,AppAnalytics.io,AppAnalytics.io,Nan
458,Deriva,Deriva,Financial Services
459,SPARQ Solutions,SPARQ-Solutions,Information Technology & Services
460,Eon UK,Eon-UK,Marketing & Advertising
461,Compuware,Compuware,Computer Software
462,KPMG Australia,KPMG-Australia,Management Consulting
463,Oracle,Oracle,Information Technology & Services
464,iGATE Corporation (now Capgemini Australia),iGATE-Corporation,Nan
465,CA Technologies,CA-Technologies,Computer Software
466,Dynatrace,Dynatrace,Computer Software
467,Varsity International,Varsity-International,Education Management
468,Phillips Electrical Technologies,Phillips-Electrical-Technologies,Construction
469,Racha Restaurant Group,Racha-Restaurant-Group,Transportation/Trucking/Railroad
470,Marchex,Marchex,Internet
471,Susan G. Komen,Susan-G.-Komen,Nan
472,Citi,Citi,Financial Services
